user_genome	Domain	Phylum	Class	Order	Family	Genus	Species
C.5.V.60-8K-bin.24	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.V.60-8K-bin.23	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.V.60-8K-bin.22	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.V.60-8K-bin.21	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.V.60-8K-bin.20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides
C.5.V.60-8K-bin.2	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.V.60-8K-bin.19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor_B	Nitratireductor_B basaltis
C.5.V.60-8K-bin.18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.V.60-8K-bin.17	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.V.60-8K-bin.16	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga thermarum
C.5.V.60-8K-bin.15	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.V.60-8K-bin.14	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.V.60-8K-bin.13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Nitratireductor_B	Nitratireductor_B basaltis
C.5.V.60-8K-bin.12	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	Pseudothermotoga thermarum
C.5.V.60-8K-bin.11	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.V.60-8K-bin.10	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.V.60-8K-bin.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.N.60-MM-bin.9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus_B
C.5.N.60-MM-bin.8	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.N.60-MM-bin.7	Bacteria	Verrucomicrobiota_A	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydophila	Chlamydophila pecorum
C.5.N.60-MM-bin.6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea thiooxydans
C.5.N.60-MM-bin.5	Bacteria	Verrucomicrobiota_A	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia suis
C.5.N.60-MM-bin.4	Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borrelia	Borrelia duttonii
C.5.N.60-MM-bin.3	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.N.60-MM-bin.2	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.N.60-MM-bin.16	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A caldifontis
C.5.N.60-MM-bin.15	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Anabaena_A	Anabaena_A cylindrica
C.5.N.60-MM-bin.14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus aminophilus
C.5.N.60-MM-bin.13	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
C.5.N.60-MM-bin.11	Bacteria	Spirochaetota	Spirochaetia	Borreliales	Borreliaceae	Borreliella	Borreliella chilensis
C.5.N.60-MM-bin.10	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Trichormus_B	Trichormus_B azollae
C.5.N.60-MM-bin.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.N.60-DT-bin.8	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae
C.5.N.60-DT-bin.7	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
C.5.N.60-DT-bin.6	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila
C.5.N.60-DT-bin.4	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
C.5.N.60-DT-bin.3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
C.5.N.60-DT-bin.21	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus
C.5.N.60-DT-bin.19	Archaea	Halobacterota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens_A
C.5.N.60-DT-bin.18	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis
C.5.N.60-DT-bin.17	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermocladiaceae	Vulcanisaeta	Vulcanisaeta distributa
C.5.N.60-DT-bin.16	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea thiooxydans
C.5.N.60-DT-bin.14	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
C.5.N.60-DT-bin.12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia_B	Erwinia_B gerundensis
