bin_id,eve_class,sample,evenness,taxonomy,depth,pipeline,coverage,rel_abd
B.1.O.60-DT-bin.6,equal,B,1,O,60,DT,63,0.007855545
B.1.O.60-DT-bin.7,equal,B,1,O,60,DT,60,0.024690896
B.1.O.60-DT-bin.8,equal,B,1,O,60,DT,60,0.016750339
B.1.O.60-DT-bin.9,equal,B,1,O,60,DT,60,0.019103958
B.1.O.60-MM-bin.1,equal,B,1,O,60,MM,61,0.01153751
C.1.O.60-8K-bin.1,equal,C,1,O,60,8K,55,0.012111528
C.1.O.60-8K-bin.10,equal,C,1,O,60,8K,55,0.00920991
C.1.O.60-8K-bin.11,equal,C,1,O,60,8K,55,0.017040257
C.1.O.60-8K-bin.12,equal,C,1,O,60,8K,55,0.010302644
C.1.O.60-8K-bin.13,equal,C,1,O,60,8K,56,0.009240578
C.1.O.60-8K-bin.14,equal,C,1,O,60,8K,55,0.042475136
C.1.O.60-8K-bin.15,equal,C,1,O,60,8K,55,0.00920991
C.1.O.60-8K-bin.16,equal,C,1,O,60,8K,55,0.00920991
C.1.O.60-8K-bin.17,equal,C,1,O,60,8K,55,0.012111528
C.1.O.60-8K-bin.18,equal,C,1,O,60,8K,55,0.017040257
C.1.O.60-8K-bin.19,equal,C,1,O,60,8K,55,0.020509951
C.1.O.60-8K-bin.2,equal,C,1,O,60,8K,56,0.020889102
C.1.O.60-8K-bin.20,equal,C,1,O,60,8K,55,0.042475136
C.1.O.60-8K-bin.21,equal,C,1,O,60,8K,56,0.01963516
C.1.O.60-8K-bin.22,equal,C,1,O,60,8K,55,0.010369064
C.1.O.60-8K-bin.23,equal,C,1,O,60,8K,55,0.042475136
C.1.O.60-8K-bin.24,equal,C,1,O,60,8K,56,0.017577198
C.1.O.60-8K-bin.25,equal,C,1,O,60,8K,55,0.00920991
C.1.O.60-8K-bin.26,equal,C,1,O,60,8K,55,0.020509951
C.1.O.60-8K-bin.27,equal,C,1,O,60,8K,55,0.017040257
C.1.O.60-8K-bin.28,equal,C,1,O,60,8K,55,0.010302644
C.1.O.60-8K-bin.29,equal,C,1,O,60,8K,56,0.009240578
C.1.O.60-8K-bin.3,equal,C,1,O,60,8K,55,0.042475136
C.1.O.60-8K-bin.30,equal,C,1,O,60,8K,56,0.017577198
C.1.O.60-8K-bin.31,equal,C,1,O,60,8K,55,0.010369064
C.1.O.60-8K-bin.32,equal,C,1,O,60,8K,55,0.020509951
C.1.O.60-8K-bin.33,equal,C,1,O,60,8K,55,0.020509951
C.1.O.60-8K-bin.34,equal,C,1,O,60,8K,55,0.010302644
C.1.O.60-8K-bin.35,equal,C,1,O,60,8K,55,0.012121629
C.1.O.60-8K-bin.36,equal,C,1,O,60,8K,55,0.010369064
C.1.O.60-8K-bin.37,equal,C,1,O,60,8K,55,0.010386515
C.1.O.60-8K-bin.38,equal,C,1,O,60,8K,56,0.009240578
C.1.O.60-8K-bin.39,equal,C,1,O,60,8K,56,0.017577198
C.1.O.60-8K-bin.4,equal,C,1,O,60,8K,56,0.01963516
C.1.O.60-8K-bin.40,equal,C,1,O,60,8K,56,0.016763944
C.1.O.60-8K-bin.5,equal,C,1,O,60,8K,56,0.009275697
C.1.O.60-8K-bin.6,equal,C,1,O,60,8K,56,0.01963516
C.1.O.60-8K-bin.7,equal,C,1,O,60,8K,55,0.017009272
C.1.O.60-8K-bin.8,equal,C,1,O,60,8K,55,0.012111528
C.1.O.60-8K-bin.9,equal,C,1,O,60,8K,55,0.010302644
C.1.O.60-DT-bin.1,equal,C,1,O,60,DT,55,0.044080277
C.1.O.60-DT-bin.10,equal,C,1,O,60,DT,55,0.021547166
C.1.O.60-DT-bin.12,equal,C,1,O,60,DT,55,0.018282548
C.1.O.60-DT-bin.14,equal,C,1,O,60,DT,54,0.009240578
C.1.O.60-DT-bin.17,equal,C,1,O,60,DT,54,0.010076234
C.1.O.60-DT-bin.19,equal,C,1,O,60,DT,55,0.012828011
C.1.O.60-DT-bin.2,equal,C,1,O,60,DT,55,0.026096727
C.1.O.60-DT-bin.20,equal,C,1,O,60,DT,57,0.010835686
C.1.O.60-DT-bin.21,equal,C,1,O,60,DT,55,0.016089446
C.1.O.60-DT-bin.23,equal,C,1,O,60,DT,55,0.010473652
C.1.O.60-DT-bin.24,equal,C,1,O,60,DT,54,0.02667392
C.1.O.60-DT-bin.4,equal,C,1,O,60,DT,58,0.00525826
C.1.O.60-DT-bin.5,equal,C,1,O,60,DT,54,0.017495695
C.1.O.60-DT-bin.6,equal,C,1,O,60,DT,55,0.024505553
C.1.O.60-DT-bin.7,equal,C,1,O,60,DT,55,0.019654111
C.1.O.60-DT-bin.8,equal,C,1,O,60,DT,55,0.018864625
C.1.O.60-DT-bin.9,equal,C,1,O,60,DT,54,0.020735745
C.1.O.60-MM-bin.1,equal,C,1,O,60,MM,55,0.021967885
A.2.C.60-8K-bin.1,logarithmic,A,2,C,60,8K,16,0.002212283
A.2.C.60-8K-bin.10,logarithmic,A,2,C,60,8K,28,0.004496319
A.2.C.60-8K-bin.11,logarithmic,A,2,C,60,8K,6,0.002569265
A.2.C.60-8K-bin.12,logarithmic,A,2,C,60,8K,33,0.004650376
A.2.C.60-8K-bin.13,logarithmic,A,2,C,60,8K,6,0.002569265
A.2.C.60-8K-bin.14,logarithmic,A,2,C,60,8K,171,0.048578249
A.2.C.60-8K-bin.15,logarithmic,A,2,C,60,8K,6,0.002630318
A.2.C.60-8K-bin.16,logarithmic,A,2,C,60,8K,23,0.0070425
A.2.C.60-8K-bin.17,logarithmic,A,2,C,60,8K,82,0.014948971
A.2.C.60-8K-bin.18,logarithmic,A,2,C,60,8K,171,0.048627701
A.2.C.60-8K-bin.19,logarithmic,A,2,C,60,8K,23,0.007002481
A.2.C.60-8K-bin.2,logarithmic,A,2,C,60,8K,171,0.048578249
A.2.C.60-8K-bin.20,logarithmic,A,2,C,60,8K,40,0.008521099
A.2.C.60-8K-bin.21,logarithmic,A,2,C,60,8K,28,0.004496319
A.2.C.60-8K-bin.22,logarithmic,A,2,C,60,8K,28,0.004496319
A.2.C.60-8K-bin.23,logarithmic,A,2,C,60,8K,16,0.002212283
A.2.C.60-8K-bin.24,logarithmic,A,2,C,60,8K,16,0.002212283
A.2.C.60-8K-bin.25,logarithmic,A,2,C,60,8K,40,0.008521099
A.2.C.60-8K-bin.26,logarithmic,A,2,C,60,8K,13,0.004729162
A.2.C.60-8K-bin.27,logarithmic,A,2,C,60,8K,16,0.002212283
A.2.C.60-8K-bin.28,logarithmic,A,2,C,60,8K,13,0.004729162
A.2.C.60-8K-bin.29,logarithmic,A,2,C,60,8K,82,0.014948971
A.2.C.60-8K-bin.3,logarithmic,A,2,C,60,8K,82,0.014948971
A.2.C.60-8K-bin.30,logarithmic,A,2,C,60,8K,33,0.004650376
