Bin.Id	Community	Abundance_distribution	Taxonomic_distribution	Depth	Pipeline	Marker lineage	Completeness	Contamination	Strain heterogeneity
B.2.V.60-MM-bin.3	B	2	V	60	MM	o__Actinomycetales (UID1590)	95	0	0
B.2.V.60-MM-bin.4	B	2	V	60	MM	f__Micrococcaceae (UID1623)	98.32	1.19	25
B.2.V.60-MM-bin.5	B	2	V	60	MM	f__Rhodobacteraceae (UID3340)	98.64	0.08	0
B.2.V.60-MM-bin.6	B	2	V	60	MM	c__Betaproteobacteria (UID3959)	98.15	3.56	50
B.2.V.60-MM-bin.7	B	2	V	60	MM	o__Rhizobiales (UID3481)	99.44	0.44	0
B.2.V.60-MM-bin.8	B	2	V	60	MM	o__Campylobacterales (UID3068)	47.9	5.1	13.04
B.2.V.60-MM-bin.9	B	2	V	60	MM	f__Rhodobacteraceae (UID3356)	98.17	0.35	0
B.3.C.60-8K-bin.1	B	3	C	60	8K	f__Rhodobacteraceae (UID3356)	93.68	0.04	0
B.3.C.60-8K-bin.10	B	3	C	60	8K	f__Bifidobacteriaceae (UID1458)	79.39	0	0
B.3.C.60-8K-bin.11	B	3	C	60	8K	f__Micrococcaceae (UID1623)	98.32	1.19	25
B.3.C.60-8K-bin.12	B	3	C	60	8K	f__Rhodobacteraceae (UID3340)	81.82	0	0
B.3.C.60-8K-bin.13	B	3	C	60	8K	o__Flavobacteriales (UID2815)	100	0	0
B.3.C.60-8K-bin.14	B	3	C	60	8K	o__Sphingomonadales (UID3310)	71.49	0	0
B.3.C.60-8K-bin.15	B	3	C	60	8K	f__Bifidobacteriaceae (UID1458)	79.39	0	0
B.3.C.60-8K-bin.16	B	3	C	60	8K	o__Actinomycetales (UID1812)	93.37	0.66	0
B.3.C.60-8K-bin.17	B	3	C	60	8K	o__Actinomycetales (UID1812)	99.67	0.79	0
B.3.C.60-8K-bin.18	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.19	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.2	B	3	C	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.C.60-8K-bin.20	B	3	C	60	8K	o__Flavobacteriales (UID2815)	100	0	0
B.3.C.60-8K-bin.21	B	3	C	60	8K	f__Bifidobacteriaceae (UID1458)	79.39	0	0
B.3.C.60-8K-bin.22	B	3	C	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.C.60-8K-bin.23	B	3	C	60	8K	o__Flavobacteriales (UID2815)	100	0	0
B.3.C.60-8K-bin.24	B	3	C	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.C.60-8K-bin.25	B	3	C	60	8K	o__Rhizobiales (UID3481)	92.01	0.44	0
B.3.C.60-8K-bin.26	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.27	B	3	C	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.C.60-8K-bin.28	B	3	C	60	8K	c__Thermoprotei (UID148)	100	0.63	0
B.3.C.60-8K-bin.29	B	3	C	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
B.3.C.60-8K-bin.3	B	3	C	60	8K	c__Thermoprotei (UID148)	99.37	0	0
B.3.C.60-8K-bin.30	B	3	C	60	8K	o__Campylobacterales (UID3068)	99.41	0.42	0
B.3.C.60-8K-bin.31	B	3	C	60	8K	f__Vibrionaceae (UID4868)	95.04	0.64	0
B.3.C.60-8K-bin.32	B	3	C	60	8K	o__Actinomycetales (UID1812)	98.9	0.55	0
